Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2002:Q2,RemainingTop1,7106633,7483101,1485816,353153,1872878,365903,343603,1526408,1535340,376468,269861,23190,83417
2002:Q2,Next9,15783136,17107809,4245357,672228,2776431,3668832,1337084,1643884,2763992,1324673,1047873,138936,137864
2002:Q2,Next40,15517184,19170733,7216466,1457414,1496340,3678547,1456892,1021803,2843271,3653549,2805710,754926,92913
2002:Q2,Bottom50,1280134,3780384,1950326,778615,100470,200285,203344,71186,476157,2500250,1477380,996898,25972
2002:Q3,TopPt1,3900759,3937501,497504,184304,876390,29695,34897,1106454,1208256,36742,25636,4167,6939
2002:Q3,RemainingTop1,6829152,7222356,1535298,346571,1527149,350053,314617,1567398,1581271,393204,281162,24120,87922
2002:Q3,Next9,15377463,16723228,4308959,696982,2258251,3741804,1245819,1660253,2811160,1345765,1069852,144837,131076
2002:Q3,Next40,15371777,19137274,7378275,1477453,1285245,3702082,1344551,1049651,2900018,3765497,2915148,765088,85261
2002:Q3,Bottom50,1270499,3832938,2028973,785474,79809,201307,185850,72984,478541,2562439,1527515,1013396,21528
2002:Q4,TopPt1,3961520,4000047,508168,188634,971898,30348,36107,1032462,1232431,38527,27025,4832,6670
2002:Q4,RemainingTop1,7014137,7422805,1585189,339358,1636664,336003,321558,1560397,1643636,408668,291676,25232,91760
2002:Q4,Next9,15704803,17079464,4375086,716508,2380662,3831800,1320996,1592743,2861670,1374661,1094773,152577,127311
2002:Q4,Next40,15643380,19530089,7556969,1492167,1328353,3738140,1401799,1053011,2959650,3886709,3026485,781091,79133
2002:Q4,Bottom50,1279592,3909556,2090388,789517,80821,202872,189850,75462,480647,2629964,1576508,1033276,20180
2003:Q1,TopPt1,3919110,3959940,518859,209368,913843,31205,36305,1051615,1198745,40830,28249,4719,7862
2003:Q1,RemainingTop1,7015430,7442210,1651852,328907,1559156,318852,317994,1604930,1660519,426780,302460,25298,99022
2003:Q1,Next9,15837529,17233151,4505867,716932,2240147,3897485,1342495,1614448,2915777,1395622,1113371,151755,130496
2003:Q1,Next40,15771158,19750313,7724640,1501406,1266155,3755798,1408725,1082845,3010745,3979155,3128595,772208,78352
2003:Q1,Bottom50,1232762,3910679,2090054,792970,72956,203644,187745,77256,486054,2677917,1617709,1035143,25065
2003:Q2,TopPt1,4230068,4276134,532032,222656,1176380,31971,39835,1080561,1192699,46067,30085,5157,10825
2003:Q2,RemainingTop1,7390376,7840178,1712786,320154,1862701,303063,340977,1655096,1645401,449802,312556,26167,111079
2003:Q2,Next9,16626577,18098492,4619303,728319,2624783,3976503,1481804,1645560,3022221,1471915,1155269,157287,159359
2003:Q2,Next40,16171829,20315658,7896562,1516391,1406456,3783137,1540656,1115648,3056808,4143829,3266279,782072,95478
